Descripcion,Marca,Compra Total,Ingreso Total,Pendiente,Estado,Fecha,Año
ESPATULA PINTOR LAMINADA CABO PLASTICO - 50 MM,BIASSONI,36,,36.0,INCOMPLETO,F. 29-1-2026,2026
AEROSOL SMART PAINT AA BLANCO BRILLANTE  350ML/250G,DOBLE A - AE,72,72.0,0.0,FULL,F. 29-1-2026,2026
PANTALON CARGO DEL NORTE MUJER - PAMPERO VERDE  TALLE 42,PAMPERO,2,,2.0,INCOMPLETO,F. 29-1-2026,2026
REGULADOR GLP C/1 MAN. (PROP. Y OTROS),FERROLAN,15,15.0,0.0,FULL,F. 29-1-2026,2026
AEROSOL USO GENERAL NEGRO MATE 250 GR,TEKBOND,60,,60.0,INCOMPLETO,F. 29-1-2026,2026
"DISCO ""FENOBOND"" 115X22  36",DOBLE A - LIJ,2000,1000.0,1000.0,PARCIAL,F. 29-1-2026,2026
AEROSOL SMART PAINT AA ROJO  350 ML/250G,DOBLE A - AE,72,58.0,14.0,PARCIAL,F. 29-1-2026,2026
BALDE PLASTICO 12 LTS. CON PICO,SINA,60,3.0,57.0,PARCIAL,F. 29-1-2026,2026
TRAPO DE PISO GRIS 48 X 62 APROX,SINA,2400,1186.0,1214.0,PARCIAL,F. 29-1-2026,2026
BOLSAS 90 X120 CM AMARILLAS 80 MICRONES,FASTER BAGS,3000,3000.0,0.0,FULL,F. 29-1-2026,2026
"MORSA DE BANCO Nº 8 - 8"" BARBERO (20)",BARBERO,2,1.0,1.0,PARCIAL,F. 29-1-2026,2026
POLIETILENO NEGRO PREMIUM 3 X 50 MT  MICR 200 NEGRO,AGROREDES,750,500.0,250.0,PARCIAL,F. 29-1-2026,2026
"CEPILLO CIRCULAR TRENZADO M14 115X6XM14 (ACERO AL CARBONO,METAL,MADERA",NORTON,600,326.0,274.0,PARCIAL,F. 29-1-2026,2026
AEROSOL SMART PAINT AA AZUL  350 ML/250G,DOBLE A - AE,72,72.0,0.0,FULL,F. 29-1-2026,2026
AEROSOL SMART PAINT AA VERDE  350 ML/250G,DOBLE A - AE,72,24.0,48.0,PARCIAL,F. 29-1-2026,2026
BOLSAS 90 X120 CM ROJAS 80 MICRONES,FASTER BAGS,3000,3000.0,0.0,FULL,F. 29-1-2026,2026
BOLSAS 90 X120 CM VERDES 80 MICRONES,FASTER BAGS,3000,3000.0,0.0,FULL,F. 29-1-2026,2026
CANDADO BRONCE CASTLE D/TRABA Nº 40,FERRETERIA,40,40.0,0.0,FULL,F. 29-1-2026,2026
AEROSOL SMART PAINT AA AMARILLO  350ML/250G,DOBLE A - AE,72,72.0,0.0,FULL,F. 29-1-2026,2026
BOLSA RAFIA 40 X 60,AGROMARC,3000,3000.0,0.0,FULL,F. 29-1-2026,2026
SOGA TRENZADA 10 MM X METRO,NAVEGANTE,500,500.0,0.0,FULL,F. 29-1-2026,2026
"MORSA DE BANCO CON YUNQUE 10"" BARBERO",BARBERO,4,4.0,0.0,FULL,F. 29-1-2026,2026
ESCUADRA CON SOMBRERO BREMEN® 400X250MM DIN 875/1,BREMEN,10,10.0,0.0,FULL,F. 29-1-2026,2026
ESCUADRA CON SOMBRERO BREMEN® 500X330MM DIN 875/1,BREMEN,10,10.0,0.0,FULL,F. 29-1-2026,2026
CINTA METRICA EVEL PREMIUMBLOK - AUTOMATICA 8 MTS,EVEL,30,30.0,0.0,FULL,F. 29-1-2026,2026
CINTA METRICA EVEL PREMIUMBLOK - AUTOMATICA 5 MTS,EVEL,30,30.0,0.0,FULL,F. 29-1-2026,2026
LAPIZ CARPINTERO GARDEX CARPINTERO,FERRETERIA,200,200.0,0.0,FULL,F. 29-1-2026,2026
"CABO MADERA PALA 0,70 EMP. PLASTICA",FERRETERIA,40,40.0,0.0,FULL,F. 29-1-2026,2026
"ABRAZADERA PERFECTO 7MM 8-12 (1/2"")",FERRETERIA,100,100.0,0.0,FULL,F. 29-1-2026,2026
MECHA SDS PLUS 5X -  10X250X310,BOSCH,10,4.0,6.0,PARCIAL,F. 19-1-2026,2026
"DISCO ""FENOBOND"" 178X22   36",DOBLE A - LIJ,2000,1890.0,110.0,PARCIAL,F. 19-1-2026,2026
MARTILLO DE CARPINTERO MANGO FIBRA DE VIDRIO 16OZ,IRIMO,30,30.0,0.0,FULL,F. 19-1-2026,2026
DETERGENTE CRISTALINO ZAP 5 L,SINA,550,547.0,3.0,PARCIAL,F. 19-1-2026,2026
GLADE AEROSOL 360CC HARMONY,JHONSON,200,200.0,0.0,FULL,F. 19-1-2026,2026
GLADE AEROSOL 360CC FLORES TROPICAL Y COCO,JHONSON,200,200.0,0.0,FULL,F. 19-1-2026,2026
BOBINA PAPEL HOJA SIMPLE 240 M X 20 CM    X ROLLO,SINA,2000,2000.0,0.0,FULL,F. 19-1-2026,2026
"LIMA BREMEN® MEDIA CAÑA  BASTARDA  12"" C/CABO Y BLISTER",BREMEN,15,15.0,0.0,FULL,F. 19-1-2026,2026
LAMPAZO MOPA ALGODON PABILO RETORCIDO,SINA,50,50.0,0.0,FULL,F. 19-1-2026,2026
PINCEL PROFESIONAL  (# 1500) S 1 Nº 10,MATEZZ,500,500.0,0.0,FULL,F. 19-1-2026,2026
PINCEL ELEFANTE SERIE 1000 Nº 15,EL GALGO,500,,500.0,INCOMPLETO,F. 19-1-2026,2026
CEPILLO DE ACERO MANGO CURVO 4X19,CALABRO,30,,30.0,INCOMPLETO,F. 19-1-2026,2026
FLAP PLANO-FIBRA   180MM-G  40,BULONFER,300,300.0,0.0,FULL,F. 19-1-2026,2026
ARNES A CREMALLERA PARA CARETA Y FACIAL,FRAVIDA,20,,20.0,INCOMPLETO,F. 19-1-2026,2026
FISCHER - MECHA ACERO RAPIDO  HSS 338 RED.9.5 F3 16.0 MM,FISCHER,30,,30.0,INCOMPLETO,F. 19-1-2026,2026
MECHA SDS PLUS 5X -  12X150X210,BOSCH,10,,10.0,INCOMPLETO,F. 19-1-2026,2026
"NIVEL BIASSONI TORPEDO 9"" B/MAGNETICA",BIASSONI,20,3.0,17.0,PARCIAL,F. 19-1-2026,2026
VENTOSA GOMA NEGRA BUFALO VEN-01,SHADA,100,,100.0,INCOMPLETO,F. 19-1-2026,2026
MECHA SDS PLUS-1    6 X210,BOSCH,10,10.0,0.0,FULL,F. 19-1-2026,2026
WD-40® 311G,CAMPI,48,48.0,0.0,FULL,F. 19-1-2026,2026
ESCOBA BICOLOR SINA 7.5 CM BASE PLASTICA,SINA,100,100.0,0.0,FULL,F. 19-1-2026,2026
PULVERIZADOR SINA SPLASH 1 LT APROX ANATOMICO -  2101000002,GEN21,200,200.0,0.0,FULL,F. 19-1-2026,2026
PORTA BOBINA INDUSTRIAL DE PIE,MAKROCORP,30,30.0,0.0,FULL,F. 19-1-2026,2026
MAZA FORJADA - 2000 GRS - CON CABO DE FIBRA,BIASSONI,15,15.0,0.0,FULL,F. 19-1-2026,2026
CABO ESCOBA 1.20M PALO CON ROSCA PINO MADERA - ECONOMICO,SINA,200,200.0,0.0,FULL,F. 19-1-2026,2026
TEFLON ALTA DENSIDAD  3/4X10,LATYN - PLAS,200,200.0,0.0,FULL,F. 19-1-2026,2026
HOJA SIERRA SIN-PAR ACERO RAP. 32 D,FERRETERIA,100,100.0,0.0,FULL,F. 19-1-2026,2026
TRAPO STOKINETE 100% ALGODON POR 10KG,TRAPOSLIMP,60,60.0,0.0,FULL,F. 19-1-2026,2026
POLIETILENO NEGRO PREMIUM 4 X 50 MT  MICR 200 NEGRO,AGROREDES,2000,2000.0,0.0,FULL,F. 19-1-2026,2026
CINTA METRICA EVEL PREMIUMBLOK - AUTOMATICA 5 MTS,EVEL,50,50.0,0.0,FULL,F. 19-1-2026,2026
CINTA METRICA EVEL PREMIUMBLOK - AUTOMATICA 10 MTS,EVEL,50,50.0,0.0,FULL,F. 19-1-2026,2026
CUCHILLA METALICA RETRACTIL BREMEN® BLIST,BREMEN,20,20.0,0.0,FULL,F. 19-1-2026,2026
"DISCO DE CORTE CD T42  MASTER ACERO 115X3,0X22.2",DOBLE A - DIS,1000,1000.0,0.0,FULL,F. 19-1-2026,2026
"DISCO CORTE PLANO BNA 12 177,8X1,6X22,2",NORTON,1500,1500.0,0.0,FULL,F. 19-1-2026,2026
ALAMBRE LINCOLN MERITS-6 / 0.90 MM / 15.0-BPN-KG,LINCOLN CON,10,10.0,0.0,FULL,F. 19-1-2026,2026
CINTA AISLADORA DOBLE A VERDE 18 X 10,DOBLE A - CIN,300,300.0,0.0,FULL,F. 19-1-2026,2026
MANDRIL PROMOLINE 13MM+VASTAGO+TORNILLO,BOSCH,10,10.0,0.0,FULL,F. 19-1-2026,2026
MECHA SDS PLUS-1    8 X210,BOSCH,10,10.0,0.0,FULL,F. 19-1-2026,2026
"TENAZA ARMADOR A3 - 300 MM (12"") - M/C - CON DIPPING",BIASSONI,30,30.0,0.0,FULL,F. 19-1-2026,2026
