Descripcion,Marca,Compra Total,Ingreso Total,Pendiente,Estado,Fecha,Año,Marca_Unificada,Ingreso_Std
Espatula pintor laminada cabo plastico - 50 mm,BIASSONI,36.0,0.0,36.0,INCOMPLETO,2026-01-29,2026,BIASSONI,-0.45390350604947544
Aerosol smart paint aa blanco brillante  350ml/250g,DOBLE A - AE,72.0,72.0,0.0,FULL,2026-01-29,2026,DOBLE A,-0.3339914024543776
Pantalon cargo del norte mujer - pampero verde  talle 42,PAMPERO,2.0,0.0,2.0,INCOMPLETO,2026-01-29,2026,PAMPERO,-0.45390350604947544
Regulador glp c/1 man. (prop. y otros),FERROLAN,15.0,15.0,0.0,FULL,2026-01-29,2026,FERROLAN,-0.4289218178004967
Aerosol uso general negro mate 250 gr,TEKBOND,60.0,0.0,60.0,INCOMPLETO,2026-01-29,2026,TEKBOND,-0.45390350604947544
"Disco ""fenobond"" 115x22  36",DOBLE A - LIJ,2000.0,1000.0,1000.0,PARCIAL,2026-01-29,2026,DOBLE A,1.2115423772157727
Aerosol smart paint aa rojo  350 ml/250g,DOBLE A - AE,72.0,58.0,14.0,PARCIAL,2026-01-29,2026,DOBLE A,-0.3573076448200911
Balde plastico 12 lts. con pico,SINA,60.0,3.0,57.0,PARCIAL,2026-01-29,2026,SINA,-0.4489071683996797
Trapo de piso gris 48 x 62 aprox,SINA,2400.0,1186.0,1214.0,PARCIAL,2026-01-29,2026,SINA,1.5213153115031088
Bolsas 90 x120 cm amarillas 80 micrones,FASTER BAGS,3000.0,3000.0,0.0,FULL,2026-01-29,2026,FASTER BAGS,4.542434143746269
"Morsa de banco nº 8 - 8"" barbero (20)",BARBERO,2.0,1.0,1.0,PARCIAL,2026-01-29,2026,BARBERO,-0.4522380601662102
Polietileno negro premium 3 x 50 mt  micr 200 negro,AGROREDES,750.0,500.0,250.0,PARCIAL,2026-01-29,2026,AGROREDES,0.3788194355831486
"Cepillo circular trenzado m14 115x6xm14 (acero al carbono,metal,madera",NORTON,600.0,326.0,274.0,PARCIAL,2026-01-29,2026,NORTON,0.08903185189499545
Aerosol smart paint aa azul  350 ml/250g,DOBLE A - AE,72.0,72.0,0.0,FULL,2026-01-29,2026,DOBLE A,-0.3339914024543776
Aerosol smart paint aa verde  350 ml/250g,DOBLE A - AE,72.0,24.0,48.0,PARCIAL,2026-01-29,2026,DOBLE A,-0.4139328048511095
Bolsas 90 x120 cm rojas 80 micrones,FASTER BAGS,3000.0,3000.0,0.0,FULL,2026-01-29,2026,FASTER BAGS,4.542434143746269
Bolsas 90 x120 cm verdes 80 micrones,FASTER BAGS,3000.0,3000.0,0.0,FULL,2026-01-29,2026,FASTER BAGS,4.542434143746269
Candado bronce castle d/traba nº 40,FERRETERIA,40.0,40.0,0.0,FULL,2026-01-29,2026,FERRETERIA,-0.38728567071886555
Aerosol smart paint aa amarillo  350ml/250g,DOBLE A - AE,72.0,72.0,0.0,FULL,2026-01-29,2026,DOBLE A,-0.3339914024543776
